Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
"Pasadena, TX",Apr-19,All Residential,Place/City,FALSE,TX,0.974644275,-0.30%,0.00%,93,-2.10%,0.00%,180,-2.70%,32.40%,33,3,24,$164K,3.50%,2.50%,118,22.90%,7.30%
"League City, TX",May-19,All Residential,Place/City,FALSE,TX,0.987201369,0.40%,0.50%,212,14.60%,0.50%,498,8.70%,12.70%,33,3,19,$270K,2.40%,1.90%,275,13.20%,-4.80%
"Houston, TX",May-20,All Residential,Place/City,FALSE,TX,0.972022947,-0.20%,-0.40%,2092,2.50%,-35.40%,9740,-2.90%,-10.20%,40,4,8,$228K,-3.80%,-5.00%,3649,29.90%,-20.60%
"Houston, TX",Oct-13,All Residential,Place/City,FALSE,TX,0.974978467,-0.40%,0.90%,2587,2.70%,13.10%,7052,-2.80%,-15.10%,32,4,-21,$163K,-4.70%,5.40%,2900,-2.50%,10.50%
"Sugar Land, TX",Nov-13,All Residential,Place/City,FALSE,TX,0.966097454,-0.60%,-0.30%,156,-11.90%,4.00%,346,-6.00%,-26.20%,28,5,-41,$284K,9.10%,19.10%,157,-31.40%,27.60%
"Texas City, TX",Jun-14,All Residential,Place/City,FALSE,TX,0.937923339,-1.30%,-1.30%,47,-7.80%,62.10%,152,-1.30%,-27.60%,31,-45,-19,$89K,-15.30%,-13.70%,65,20.40%,41.30%
"Missouri City, TX",Sep-14,All Residential,Place/City,FALSE,TX,0.979952075,0.20%,0.70%,120,-31.80%,-6.30%,378,0.30%,-3.10%,18,-5,-24,$215K,-14.00%,0.40%,162,-4.70%,20.00%
"League City, TX",Feb-15,All Residential,Place/City,FALSE,TX,0.978563327,-0.30%,0.80%,137,26.90%,-5.50%,368,0.80%,-10.90%,48,11,-5,$228K,4.70%,8.60%,183,10.90%,-7.10%
"Sugar Land, TX",Oct-15,All Residential,Place/City,FALSE,TX,0.965712743,-0.60%,-1.30%,167,-10.20%,2.50%,557,0.70%,63.30%,42,7,10,$325K,-2.50%,1.60%,206,-2.40%,15.70%
"Texas City, TX",Nov-15,All Residential,Place/City,FALSE,TX,0.937318854,-0.80%,-2.00%,38,-19.10%,26.70%,115,-6.50%,-23.80%,59,24,20,$106K,14.00%,1.00%,44,0.00%,7.30%
"Friendswood, TX",Nov-16,All Residential,Place/City,FALSE,TX,0.963942348,-1.70%,-2.00%,67,21.80%,55.80%,171,-3.40%,18.80%,57,36,35,$320K,39.70%,60.00%,60,5.30%,36.40%
"Friendswood, TX",Dec-16,All Residential,Place/City,FALSE,TX,0.971174515,0.70%,0.10%,61,-9.00%,19.60%,158,-7.60%,17.90%,21,-36,-10,$241K,-24.70%,11.20%,52,-13.30%,4.00%
"Texas City, TX",Jul-17,All Residential,Place/City,FALSE,TX,0.98731177,0.80%,-0.30%,59,7.30%,22.90%,191,24.00%,81.90%,8,-20,-11,$150K,6.00%,26.60%,86,-13.10%,72.00%
"Pasadena, TX",Nov-18,All Residential,Place/City,FALSE,TX,0.968381772,-0.10%,-0.20%,61,-29.10%,-22.80%,212,-3.60%,42.30%,19,1,-13,$174K,12.70%,2.40%,85,-14.10%,11.80%
"League City, TX",Jan-19,All Residential,Place/City,FALSE,TX,0.97834142,0.10%,-0.10%,90,-35.70%,-12.60%,467,2.90%,41.10%,54,7,22,$258K,-2.10%,-2.70%,192,74.50%,14.30%
"League City, TX",Feb-19,All Residential,Place/City,FALSE,TX,0.978720715,0.00%,0.30%,138,53.30%,3.00%,456,-2.40%,43.80%,46,-8,-13,$280K,8.40%,4.80%,190,-1.00%,20.30%
"Friendswood, TX",Apr-12,All Residential,Place/City,FALSE,TX,0.958173792,1.10%,1.60%,59,-1.70%,227.80%,298,2.40%,10.40%,104,6,-63,$158K,-17.20%,-7.90%,105,7.10%,47.90%
"Texas City, TX",Mar-13,All Residential,Place/City,FALSE,TX,0.947204958,-1.30%,-3.70%,33,17.90%,17.90%,196,1.60%,-8.80%,74,17,7,$72K,1.80%,-4.80%,50,51.50%,-2.00%
"League City, TX",Jul-13,All Residential,Place/City,FALSE,TX,0.975295648,-0.30%,0.50%,241,30.30%,40.90%,499,5.90%,-17.50%,29,-3,-22,$197K,-1.50%,5.00%,244,10.90%,27.10%
"Missouri City, TX",Aug-13,All Residential,Place/City,FALSE,TX,0.973904164,-0.30%,0.80%,204,18.60%,47.80%,396,-6.20%,-26.70%,34,0,-20,$207K,2.60%,18.00%,143,-33.20%,-13.90%
"League City, TX",Jul-14,All Residential,Place/City,FALSE,TX,0.982358332,0.00%,0.70%,189,-11.30%,-21.60%,450,10.60%,-9.80%,21,2,-8,$215K,0.00%,9.20%,271,41.10%,11.10%
"Texas City, TX",Sep-14,All Residential,Place/City,FALSE,TX,0.962922388,1.00%,1.60%,47,6.80%,62.10%,165,-4.60%,-24.00%,46,-13,-26,$120K,20.90%,39.50%,52,-11.90%,4.00%
"Houston, TX",Dec-14,All Residential,Place/City,FALSE,TX,0.978680283,0.20%,0.50%,2665,21.90%,4.80%,5973,-5.30%,-1.70%,28,-1,-6,$194K,7.60%,3.10%,2128,-13.70%,9.70%
"Galveston, TX",Apr-15,All Residential,Place/City,FALSE,TX,0.958228381,-0.10%,0.80%,117,30.00%,4.50%,594,0.20%,-11.20%,81,37,17,$160K,-7.50%,-3.90%,153,-15.00%,-12.60%
"Missouri City, TX",Jul-15,All Residential,Place/City,FALSE,TX,0.980038742,-0.80%,-0.40%,150,-20.20%,-8.00%,390,9.20%,1.00%,20,6,-2,$260K,9.60%,6.10%,209,3.50%,8.90%
"Sugar Land, TX",Sep-15,All Residential,Place/City,FALSE,TX,0.971886613,-0.80%,-1.20%,186,-25.90%,-18.10%,553,-1.10%,56.20%,35,11,18,$333K,3.20%,13.00%,211,-4.50%,29.40%
"Galveston, TX",Sep-15,All Residential,Place/City,FALSE,TX,0.952572227,0.70%,-0.60%,106,-6.20%,7.10%,590,-6.50%,-3.00%,54,-11,-33,$183K,5.70%,0.10%,126,-46.60%,-6.00%
"League City, TX",Oct-15,All Residential,Place/City,FALSE,TX,0.979739932,0.10%,0.30%,159,-22.40%,-2.50%,396,1.80%,-8.10%,26,-1,-10,$240K,2.10%,18.20%,169,-15.10%,-2.90%
"League City, TX",Nov-15,All Residential,Place/City,FALSE,TX,0.97730832,-0.20%,-0.30%,109,-31.40%,-28.30%,372,-6.10%,-6.10%,22,-4,-24,$229K,-4.60%,9.20%,133,-21.30%,-2.20%
"Texas City, TX",Dec-15,All Residential,Place/City,FALSE,TX,0.972959952,3.60%,2.30%,40,5.30%,0.00%,100,-13.00%,-27.50%,44,-15,-7,$113K,7.00%,12.90%,30,-31.80%,-11.80%
"League City, TX",Mar-16,All Residential,Place/City,FALSE,TX,0.98457729,0.90%,0.70%,168,32.30%,-6.70%,402,4.10%,18.20%,25,-15,-1,$244K,4.10%,4.70%,219,17.10%,12.90%
"Baytown, TX",Oct-16,All Residential,Place/City,FALSE,TX,0.975814008,0.10%,0.50%,93,-11.40%,24.00%,258,-2.60%,-10.70%,25,-5,-12,$175K,-0.10%,16.60%,101,-14.40%,-8.20%
"Texas City, TX",Apr-17,All Residential,Place/City,FALSE,TX,0.966260801,-1.10%,2.60%,46,12.20%,-14.80%,123,3.40%,11.80%,25,-12,-7,$122K,-21.30%,12.10%,68,-1.40%,-4.20%
"Houston, TX",Apr-17,All Residential,Place/City,FALSE,TX,0.973047302,0.40%,0.10%,2631,-7.10%,5.30%,9496,4.90%,5.20%,30,-7,2,$214K,1.90%,4.40%,4078,-7.60%,11.60%
"Galveston, TX",May-17,All Residential,Place/City,FALSE,TX,0.945636119,-1.00%,-0.30%,153,31.90%,23.40%,661,4.80%,2.00%,62,14,19,$235K,26.70%,10.70%,204,20.70%,9.10%
"Houston, TX",Jul-17,All Residential,Place/City,FALSE,TX,0.974239077,0.10%,0.00%,2706,-13.80%,-0.50%,10971,4.70%,13.00%,28,1,-1,$210K,-6.70%,-2.30%,4012,-3.60%,6.30%
"Friendswood, TX",Sep-17,All Residential,Place/City,FALSE,TX,0.979576003,0.00%,0.80%,75,7.10%,2.70%,190,-11.60%,1.60%,29,10,6,$275K,-10.60%,14.60%,66,-17.50%,-1.50%
"Houston, TX",Dec-17,All Residential,Place/City,FALSE,TX,0.965274965,-0.10%,-0.20%,2675,11.00%,-1.00%,8227,-9.40%,2.10%,44,-3,-1,$217K,4.20%,0.80%,2127,-25.80%,8.40%
"League City, TX",Feb-18,All Residential,Place/City,FALSE,TX,0.975343109,-0.40%,-0.80%,134,30.10%,7.20%,317,-4.20%,-14.10%,59,27,22,$267K,0.70%,8.90%,158,-6.00%,-17.30%
"Missouri City, TX",Mar-18,All Residential,Place/City,FALSE,TX,0.969406637,-0.20%,0.00%,129,27.70%,-5.10%,471,7.00%,1.90%,65,17,23,$258K,10.50%,0.00%,215,32.70%,-6.10%
"Pasadena, TX",Jun-19,All Residential,Place/City,FALSE,TX,0.977862689,-1.00%,-0.10%,82,-16.30%,-23.40%,200,-4.30%,7.00%,19,-5,4,$175K,0.00%,-2.90%,119,-7.80%,-16.80%
"Baytown, TX",Jun-19,All Residential,Place/City,FALSE,TX,0.980081966,0.10%,-0.30%,88,-19.30%,-36.20%,321,13.40%,8.80%,34,7,17,$209K,10.00%,14.10%,169,14.20%,15.00%
"Texas City, TX",Jul-19,All Residential,Place/City,FALSE,TX,0.975047595,-0.50%,-0.80%,55,-40.20%,-35.30%,235,12.40%,4.40%,28,-11,0,$187K,-0.50%,2.10%,89,6.00%,4.70%
"League City, TX",Sep-19,All Residential,Place/City,FALSE,TX,0.98065007,0.00%,0.80%,165,-29.20%,0.00%,472,-4.10%,-11.60%,33,2,6,$280K,2.40%,5.70%,175,-15.50%,15.10%
"Sugar Land, TX",Feb-12,All Residential,Place/City,FALSE,TX,0.952058437,-0.50%,0.60%,113,24.20%,20.20%,563,1.10%,-28.00%,88,9,10,$220K,-0.70%,-5.00%,183,27.10%,-9.00%
"Baytown, TX",Jun-12,All Residential,Place/City,FALSE,TX,0.969166216,-0.30%,1.20%,92,41.50%,16.50%,447,6.70%,-19.60%,57,-3,-22,$119K,-3.00%,20.60%,141,18.50%,11.90%
"Galveston, TX",Dec-12,All Residential,Place/City,FALSE,TX,0.938088449,-0.30%,,70,-4.10%,,526,-3.70%,,97,-14,,$159K,-11.70%,,81,-15.60%,
"Texas City, TX",May-13,All Residential,Place/City,FALSE,TX,0.972041631,4.50%,2.20%,46,48.40%,53.30%,213,7.60%,-2.30%,73,-10,12,$101K,32.40%,19.20%,67,15.50%,55.80%
"Baytown, TX",Jun-13,All Residential,Place/City,FALSE,TX,0.97794036,0.40%,0.90%,79,-25.50%,-14.10%,357,-0.80%,-20.10%,74,6,17,$126K,5.00%,5.70%,107,-20.70%,-24.10%
"Galveston, TX",Jul-13,All Residential,Place/City,FALSE,TX,0.955382895,1.30%,2.00%,106,1.90%,23.30%,581,-6.40%,-2.40%,88,-21,12,$171K,-10.90%,-3.20%,104,-23.50%,-17.50%
"Friendswood, TX",Aug-13,All Residential,Place/City,FALSE,TX,0.975416308,0.10%,1.20%,93,-17.70%,9.40%,198,7.00%,-24.40%,37,9,-15,$226K,-0.60%,22.20%,92,0.00%,24.30%
"Pasadena, TX",Dec-13,All Residential,Place/City,FALSE,TX,0.960275065,-1.40%,-1.00%,85,46.60%,54.50%,267,-11.60%,-14.10%,69,13,13,$125K,15.40%,46.90%,55,-27.60%,0.00%
"Houston, TX",Apr-14,All Residential,Place/City,FALSE,TX,0.982586879,0.20%,0.60%,2624,3.40%,-6.90%,5708,0.20%,-16.40%,23,-3,-4,$185K,3.60%,2.80%,3678,12.30%,-0.10%
"Sugar Land, TX",Jun-14,All Residential,Place/City,FALSE,TX,0.990040474,0.30%,1.20%,257,34.60%,-6.50%,390,14.00%,-1.80%,11,-3,-3,$325K,3.20%,19.00%,289,-6.80%,-3.70%
"Galveston, TX",Jan-16,All Residential,Place/City,FALSE,TX,0.93624485,-1.30%,-2.10%,60,-25.00%,20.00%,496,1.60%,-7.80%,90,24,4,$176K,1.40%,1.30%,140,68.70%,-4.10%
"Sugar Land, TX",Jun-12,All Residential,Place/City,FALSE,TX,0.964920328,-0.30%,0.80%,228,6.00%,17.50%,634,4.10%,-27.50%,45,14,-13,$238K,5.80%,-9.20%,285,3.30%,-1.00%
"League City, TX",Jun-12,All Residential,Place/City,FALSE,TX,0.977449236,0.50%,1.40%,153,-14.50%,3725.00%,585,-0.30%,4.70%,49,-22,-92,$185K,0.10%,-26.80%,203,-1.50%,70.60%
"Friendswood, TX",Nov-12,All Residential,Place/City,FALSE,TX,0.952789572,-1.70%,-1.50%,60,-10.40%,233.30%,237,-4.00%,-26.20%,74,12,7,$163K,-1.20%,16.50%,45,-34.80%,-13.50%
"Baytown, TX",Dec-12,All Residential,Place/City,FALSE,TX,0.958611352,-0.90%,-1.20%,61,-4.70%,-18.70%,380,-1.80%,-6.60%,102,14,12,$120K,-9.30%,2.10%,60,-21.10%,-17.80%
"Pasadena, TX",Feb-13,All Residential,Place/City,FALSE,TX,0.943281942,-0.20%,-2.00%,79,14.50%,54.90%,293,-7.00%,-22.50%,116,29,29,$93K,-9.80%,0.00%,87,-18.70%,-5.40%
"Missouri City, TX",Apr-13,All Residential,Place/City,FALSE,TX,0.969013332,0.70%,0.40%,142,-2.10%,23.50%,429,-4.50%,-22.70%,56,-9,1,$217K,20.50%,25.60%,189,-3.10%,-6.00%
"Pasadena, TX",May-13,All Residential,Place/City,FALSE,TX,0.971638879,-0.60%,-0.40%,86,14.70%,16.20%,297,-2.30%,-21.20%,61,19,-25,$128K,11.60%,12.00%,131,18.00%,32.30%
"Baytown, TX",Jul-13,All Residential,Place/City,FALSE,TX,0.983851563,0.60%,0.20%,74,-6.30%,-9.80%,342,-4.20%,-21.90%,55,-19,-14,$131K,3.80%,9.00%,103,-3.70%,-6.40%
"Friendswood, TX",Oct-13,All Residential,Place/City,FALSE,TX,0.964309442,-0.80%,-0.60%,68,11.50%,1.50%,179,-6.30%,-27.50%,49,11,-13,$218K,14.50%,31.80%,55,-21.40%,-20.30%
"Texas City, TX",Jan-14,All Residential,Place/City,FALSE,TX,0.932477899,-0.40%,0.70%,22,-35.30%,-15.40%,177,-2.70%,-14.90%,100,9,-23,$82K,-29.90%,-0.70%,45,80.00%,-8.20%
"Baytown, TX",Jun-14,All Residential,Place/City,FALSE,TX,0.985632857,-0.10%,0.80%,97,-8.50%,22.80%,272,8.40%,-23.80%,35,-7,-39,$140K,3.70%,11.10%,124,10.70%,15.90%
"Missouri City, TX",Aug-14,All Residential,Place/City,FALSE,TX,0.978173142,-0.50%,0.40%,176,8.00%,-13.70%,377,-2.30%,-4.80%,23,1,-11,$250K,2.00%,21.10%,170,-11.50%,18.90%
"Missouri City, TX",Oct-14,All Residential,Place/City,FALSE,TX,0.966394482,-1.40%,-0.30%,154,28.30%,25.20%,338,-10.60%,-11.30%,32,14,-18,$215K,0.00%,7.30%,139,-14.20%,-8.60%
"Missouri City, TX",Feb-15,All Residential,Place/City,FALSE,TX,0.986745618,0.80%,1.80%,105,10.50%,20.70%,294,0.30%,-23.20%,36,-6,-25,$212K,-5.60%,18.20%,136,-16.60%,-26.10%
"Baytown, TX",Mar-15,All Residential,Place/City,FALSE,TX,0.977408432,-0.10%,0.20%,99,43.50%,23.80%,210,-8.30%,-19.20%,50,-27,-2,$158K,1.90%,39.20%,110,20.90%,-1.80%
"Sugar Land, TX",Aug-15,All Residential,Place/City,FALSE,TX,0.979465298,0.20%,-0.20%,251,5.00%,4.60%,559,-8.40%,40.80%,24,6,7,$323K,2.50%,5.90%,221,-34.20%,-4.30%
"Baytown, TX",Jun-16,All Residential,Place/City,FALSE,TX,0.978227869,-0.20%,-0.10%,105,-0.90%,-5.40%,266,6.80%,17.20%,27,-6,10,$167K,-0.30%,7.70%,147,27.80%,17.60%
"Pasadena, TX",Jan-17,All Residential,Place/City,FALSE,TX,0.967602786,-0.70%,-0.70%,52,-43.50%,-7.10%,164,-3.00%,-9.40%,50,17,8,$135K,-17.70%,8.90%,84,33.30%,-16.00%
"Missouri City, TX",Mar-17,All Residential,Place/City,FALSE,TX,0.9697983,0.10%,-0.20%,136,33.30%,0.70%,462,7.90%,18.50%,42,-25,0,$258K,0.80%,10.00%,229,47.70%,18.00%
"Baytown, TX",Jan-18,All Residential,Place/City,FALSE,TX,0.966437059,-0.80%,0.40%,79,-35.80%,12.90%,212,3.90%,-1.90%,38,6,-12,$182K,-5.00%,17.80%,109,62.70%,12.40%
"Baytown, TX",Sep-18,All Residential,Place/City,FALSE,TX,0.97707702,0.10%,-0.30%,95,-22.80%,6.70%,320,-3.90%,14.70%,33,1,17,$183K,-6.40%,5.80%,118,-12.60%,18.00%
"Friendswood, TX",Nov-18,All Residential,Place/City,FALSE,TX,0.96685732,0.20%,-0.40%,60,-18.90%,-14.30%,250,-6.70%,39.70%,63,22,5,$263K,3.50%,7.30%,60,-24.10%,-14.30%
"Pasadena, TX",Jan-19,All Residential,Place/City,FALSE,TX,0.970305017,-0.70%,0.20%,59,-24.40%,15.70%,212,-1.90%,73.80%,40,12,22,$157K,-6.60%,0.00%,96,60.00%,41.20%
"Missouri City, TX",Jan-19,All Residential,Place/City,FALSE,TX,0.971645543,0.80%,1.40%,90,-40.80%,1.10%,573,1.80%,29.90%,52,-24,1,$234K,-12.80%,2.60%,160,37.90%,30.10%
"Galveston, TX",Feb-19,All Residential,Place/City,FALSE,TX,0.938658508,-2.80%,-2.10%,89,29.00%,-7.30%,568,9.20%,0.00%,83,12,16,$211K,0.00%,-4.00%,186,21.60%,10.70%
"Texas City, TX",Mar-19,All Residential,Place/City,FALSE,TX,0.969301462,-1.40%,0.90%,69,3.00%,25.50%,216,-1.80%,16.10%,49,-28,21,$189K,8.10%,23.60%,76,2.70%,-8.40%
"Missouri City, TX",May-19,All Residential,Place/City,FALSE,TX,0.977462088,1.10%,0.40%,190,17.30%,5.60%,660,13.40%,23.10%,37,-9,0,$247K,-5.70%,-7.70%,264,3.50%,10.00%
"Texas City, TX",Dec-19,All Residential,Place/City,FALSE,TX,0.987950039,1.60%,2.40%,58,1.80%,-22.70%,262,2.70%,13.90%,88,49,45,$200K,5.10%,14.00%,75,2.70%,36.40%
"Texas City, TX",Jan-20,All Residential,Place/City,FALSE,TX,0.982112265,-0.60%,-1.40%,43,-25.90%,22.90%,252,-3.80%,12.00%,46,-42,11,$199K,-0.30%,1.00%,71,-5.30%,-4.10%
"League City, TX",Mar-20,All Residential,Place/City,FALSE,TX,0.988605469,0.20%,1.40%,160,41.60%,-12.60%,387,10.60%,-13.40%,33,-26,-11,$281K,1.40%,4.10%,245,30.30%,12.90%
"League City, TX",Nov-12,All Residential,Place/City,FALSE,TX,0.973135843,-0.20%,-0.70%,117,-18.80%,3800.00%,524,-1.50%,-22.80%,71,9,-54,$192K,2.90%,-12.30%,131,-23.80%,10.10%
"Sugar Land, TX",Apr-14,All Residential,Place/City,FALSE,TX,0.973116369,-1.20%,0.70%,202,6.90%,0.50%,301,-1.00%,-10.90%,17,1,-4,$305K,-2.90%,26.00%,256,7.10%,2.80%
"Baytown, TX",Jul-14,All Residential,Place/City,FALSE,TX,0.973147182,-1.20%,-1.10%,84,-13.40%,13.50%,310,14.00%,-9.40%,21,-14,-34,$143K,1.80%,9.00%,136,9.70%,32.00%
"Texas City, TX",Jan-15,All Residential,Place/City,FALSE,TX,0.954562457,0.50%,2.20%,33,-17.50%,50.00%,124,-10.10%,-29.90%,59,8,-41,$82K,-18.90%,-0.20%,44,29.40%,-2.20%
"Missouri City, TX",Apr-15,All Residential,Place/City,FALSE,TX,0.981498119,0.60%,0.40%,143,5.10%,-9.50%,309,7.30%,-7.20%,26,7,-5,$257K,14.00%,16.20%,208,19.50%,15.60%
"Pasadena, TX",May-15,All Residential,Place/City,FALSE,TX,0.973778601,-0.90%,0.00%,95,-5.90%,4.40%,167,1.80%,-23.40%,20,4,-36,$138K,6.20%,11.30%,100,-17.40%,-13.80%
"Friendswood, TX",Jul-15,All Residential,Place/City,FALSE,TX,0.991123217,0.40%,1.50%,86,2.40%,-3.40%,155,18.30%,-7.20%,14,7,4,$227K,0.40%,-3.90%,103,4.00%,15.70%
"Pasadena, TX",Apr-16,All Residential,Place/City,FALSE,TX,0.985618001,1.10%,0.20%,87,-5.40%,-13.90%,164,8.60%,0.00%,15,-20,-1,$136K,-2.20%,4.30%,128,29.30%,5.80%
"Sugar Land, TX",Sep-12,All Residential,Place/City,FALSE,TX,0.96664368,0.30%,1.90%,143,-33.20%,-3.40%,582,-6.30%,-19.30%,46,4,-19,$215K,-2.70%,-10.40%,255,19.70%,59.40%
"League City, TX",Oct-12,All Residential,Place/City,FALSE,TX,0.97554499,0.10%,,144,5.90%,,532,-2.20%,,62,-7,,$187K,0.80%,,172,24.60%,
"Sugar Land, TX",Jul-13,All Residential,Place/City,FALSE,TX,0.980566164,0.20%,1.50%,279,1.50%,32.20%,401,1.00%,-38.10%,14,0,-21,$281K,2.90%,12.40%,303,1.00%,14.80%
"League City, TX",Sep-13,All Residential,Place/City,FALSE,TX,0.977741646,-0.50%,0.30%,156,-19.60%,14.70%,497,1.00%,-8.60%,42,12,-27,$192K,0.30%,3.80%,184,-8.50%,33.30%
"Pasadena, TX",Nov-13,All Residential,Place/City,FALSE,TX,0.973985601,0.30%,-0.70%,58,-31.00%,9.40%,302,0.70%,-9.60%,56,16,-11,$108K,-4.50%,0.20%,76,-20.00%,13.40%
"League City, TX",Apr-14,All Residential,Place/City,FALSE,TX,0.979232196,-0.10%,-0.20%,185,10.10%,12.80%,394,1.50%,-16.30%,26,-2,-8,$203K,2.40%,9.40%,242,33.00%,16.30%
"Houston, TX",May-14,All Residential,Place/City,FALSE,TX,0.986649593,0.40%,0.70%,2945,12.20%,-3.50%,5969,4.60%,-13.60%,19,-4,-6,$190K,2.70%,10.00%,3882,5.50%,2.90%
"League City, TX",Oct-14,All Residential,Place/City,FALSE,TX,0.976773656,0.30%,0.20%,163,-11.40%,-3.60%,431,-0.20%,-12.60%,36,8,-7,$203K,-4.60%,6.10%,174,3.60%,-3.90%
"Baytown, TX",Dec-14,All Residential,Place/City,FALSE,TX,0.962997542,-0.60%,-1.90%,85,-4.50%,19.70%,245,-10.90%,-15.20%,35,-27,-61,$153K,0.50%,17.60%,52,-43.50%,-13.30%
"Sugar Land, TX",Jan-15,All Residential,Place/City,FALSE,TX,0.9822442,0.60%,0.70%,111,-50.90%,0.90%,352,13.20%,17.30%,18,-12,-11,$298K,-23.50%,0.30%,186,18.50%,7.50%
